problem_id,status,effective_maxloop,branches,candidate_paths,validated_candidates,minimum_tests,eppather_predicted_edges,eppather_predicted_coverage,eppather_covered_edges,eppather_coverage,official_tests,official_covered_edges,official_coverage,coverage_prediction_correct,path_replay_matches,detail
0000,ok,10,2,1,1,1,4,100.0,4,100.0,1,4,100.0,True,1,
0001,ok,2,4,2,2,1,8,100.0,8,100.0,4,8,100.0,True,2,
0002,not_applicable,,,,,,,,,,,,,,,maxloop=2: scanf arity | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity
0003,ok,2,2,4,4,2,4,100.0,4,100.0,1,4,100.0,True,4,
0006,not_applicable,,,,,,,,,,,,,,,maxloop=2: no plain int main | maxloop=10: unsupported scanf format | maxloop=5: unsupported scanf format | maxloop=3: unsupported scanf format | maxloop=2: unsupported scanf format
0007,ok,10,1,2,2,1,2,100.0,2,100.0,1,2,100.0,True,2,
0011,not_applicable,,,,,,,,,,,,,,,"maxloop=2: Command '['/home/runner/work/eppather/eppather/cnip', '-q', '--maxloop', '2', '--maxpaths', '400', '/tmp/tmpzx7niqhu/model.c']' timed out after 45 seconds | maxloop=10: scanf arity | maxloop=5: scanf arity | maxloop=3: scanf arity | maxloop=2: scanf arity"
0014,not_applicable,,,,,,,,,,,,,,,maxloop=2: complex scanf target | maxloop=10: complex scanf target | maxloop=5: complex scanf target | maxloop=3: complex scanf target | maxloop=2: complex scanf target
0015,not_applicable,,,,,,,,,,,,,,,maxloop=2: non-integer input API | maxloop=10: no plain int main | maxloop=5: no plain int main | maxloop=3: no plain int main | maxloop=2: no plain int main
0017,not_applicable,,,,,,,,,,,,,,,maxloop=2: no plain int main | maxloop=10: non-integer input API | maxloop=5: non-integer input API | maxloop=3: non-integer input API | maxloop=2: non-integer input API
0018,ok,10,6,2,2,1,9,75.0,10,83.33333333333333,4,12,100.0,False,2,
0019,ok,10,1,11,11,1,2,100.0,2,100.0,1,2,100.0,True,11,
0020,not_applicable,,,,,,,,,,,,,,,maxloop=2: non-integer input API | maxloop=10: non-integer input API | maxloop=5: non-integer input API | maxloop=3: non-integer input API | maxloop=2: non-integer input API
