problem_id,status,branches,candidate_paths,validated_candidates,minimum_tests,eppather_predicted_edges,eppather_predicted_coverage,eppather_covered_edges,eppather_coverage,official_tests,official_covered_edges,official_coverage,coverage_prediction_correct,path_replay_matches,detail
0000,ok,2,3,3,1,2,50.0,4,100.0,1,4,100.0,False,3,
0001,not_applicable,,,,,,,,,,,,,,"no plain int main | cnip 10!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!input[0]!!!!
equals!!!!!0!!!!
equals!!!!!3!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!0!!!!
equals!!!!!0!!!!
equals!!!!!0!!!!
equals!!!!!10!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!data[j]!!!!
equals!!!!!j!!!!
equals!!!!!data[j]!!!!
equals!!!!!data[n]!!!!
equals!!!!!0!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 0.156812 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | cnip !!!!0!!!!
equals!!!!!10!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!input[0]!!!!
equals!!!!!0!!!!
equals!!!!!10!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!i!!!!
equals!!!!!i!!!!
equals!!!!!10!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!N[max]!!!!
equals!!!!!j!!!!
equals!!!!!N[max]!!!!
equals!!!!!N[i]!!!!
equals!!!!!h!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 0.166369 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
"
0002,not_applicable,,,,,,,,,,,,,,scanf arity | scanf arity | scanf arity
0003,ok,2,4,4,2,4,100.0,4,100.0,1,4,100.0,True,4,
0006,not_applicable,,,,,,,,,,,,,,non-integer input API | no plain int main | unsupported scanf format
0007,ok,1,2,2,1,2,100.0,2,100.0,1,2,100.0,True,2,
0011,ok,3,18,1,1,1,16.666666666666668,1,16.666666666666668,1,6,100.0,True,1,
0014,not_applicable,,,,,,,,,,,,,,no plain int main | complex scanf target | complex scanf target
0015,not_applicable,,,,,,,,,,,,,,non-integer input API | non-integer input API | no plain int main
0017,not_applicable,,,,,,,,,,,,,,non-integer input API | no plain int main | non-integer input API
0018,ok,4,1,1,1,7,87.5,7,87.5,4,8,100.0,True,1,
0019,ok,1,3,3,1,2,100.0,2,100.0,1,2,100.0,True,3,
0020,not_applicable,,,,,,,,,,,,,,non-integer input API | non-integer input API | non-integer input API
0022,not_applicable,,,,,,,,,,,,,,scanf arity | no plain int main | scanf arity
0025,not_applicable,,,,,,,,,,,,,,scanf arity | no plain int main | scanf arity
0026,not_applicable,,,,,,,,,,,,,,scanf arity | scanf arity | scanf arity
0027,ok,2,1,1,1,2,50.0,2,50.0,1,3,75.0,True,1,
0028,not_applicable,,,,,,,,,,,,,,"no plain int main | compile run.c:17:9: error: expected expression before ‘}’ token
   17 |         }
      |         ^
/tmp/tmp7qrjcdb0/model_run.c: In function ‘main’:
/tmp/tmp7qrjcdb0/model_run.c:22:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   22 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | scanf arity"
0030,not_applicable,,,,,,,,,,,,,,"helper/external calls: sumint | no plain int main | helper/external calls: comb,memset"
0031,not_applicable,,,,,,,,,,,,,,scanf arity | scanf arity | scanf arity
0032,not_applicable,,,,,,,,,,,,,,scanf arity | scanf arity | scanf arity
0033,not_applicable,,,,,,,,,,,,,,"helper/external calls: func | compile .c:51:9: error: expected expression before ‘else’
   51 |         else
      |         ^~~~
/tmp/tmp8j6b2_ww/model_run.c: In function ‘main’:
/tmp/tmp8j6b2_ww/model_run.c:58:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   58 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | compile     if (EPP_TRACE(7, (i>=10))) else
      |                                            ^~~~
/tmp/tmp9ky9daax/model_run.c: In function ‘main’:
/tmp/tmp9ky9daax/model_run.c:30:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   30 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
"
0045,not_applicable,,,,,,,,,,,,,,complex scanf target | scanf arity | scanf arity
0047,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
0051,ok,10,1,1,1,1,5.0,1,5.0,1,20,100.0,True,1,
0052,not_applicable,,,,,,,,,,,,,,"helper/external calls: func | Command '['/tmp/tmpettcxau_/model_run', '-2147483648']' timed out after 5 seconds | no plain int main"
0057,not_applicable,,,,,,,,,,,,,,no plain int main | scanf arity | no plain int main
0063,not_applicable,,,,,,,,,,,,,,non-integer input API | no plain int main | non-integer input API
