project,source_boundary,case,source_accesses,eppather_total,caller_initialization,eppather_function,matched,scope
list,list_rpush,0,0,7,7,0,True,bounded_function
list,list_rpush,1,7,14,7,7,True,bounded_function
list,list_rpush,2,9,16,7,9,True,bounded_function
inih,ini_strncpy0,1-0,1,9,8,1,True,bounded_function
inih,ini_strncpy0,1-1,1,9,8,1,True,bounded_function
inih,ini_strncpy0,1-2,1,9,8,1,True,bounded_function
inih,ini_strncpy0,2-0,2,10,8,2,True,bounded_function
inih,ini_strncpy0,2-1,4,12,8,4,True,bounded_function
inih,ini_strncpy0,2-2,4,12,8,4,True,bounded_function
inih,ini_strncpy0,3-0,2,10,8,2,True,bounded_function
inih,ini_strncpy0,3-1,5,13,8,5,True,bounded_function
inih,ini_strncpy0,3-2,7,15,8,7,True,bounded_function
SDSLib,sdsclear,0,3,6,3,3,True,bounded_function
SDSLib,sdsclear,1,3,6,3,3,True,bounded_function
cJSON,buffer_skip_whitespace:direct-fields,0,3,6,3,3,True,fragment_direct_fields
cJSON,buffer_skip_whitespace:direct-fields,1,5,8,3,5,True,fragment_direct_fields
cJSON,buffer_skip_whitespace:direct-fields,2,9,12,3,9,True,fragment_direct_fields
cJSON,buffer_skip_whitespace:direct-fields,3,15,18,3,15,True,fragment_direct_fields
tinyexpr,te_eval:constant-case,0,2,4,2,2,True,fragment_constant_case
tinyexpr,te_eval:constant-case,1,2,4,2,2,True,fragment_constant_case
Lua,luaZ_read,0-0,0,10,10,0,True,bounded_no_refill
Lua,luaZ_read,0-1,1,11,10,1,True,bounded_no_refill
Lua,luaZ_read,0-2,1,11,10,1,True,bounded_no_refill
Lua,luaZ_read,0-3,1,11,10,1,True,bounded_no_refill
Lua,luaZ_read,1-0,0,10,10,0,True,bounded_no_refill
Lua,luaZ_read,1-1,9,19,10,9,True,bounded_no_refill
Lua,luaZ_read,1-2,11,21,10,11,True,bounded_no_refill
Lua,luaZ_read,1-3,11,21,10,11,True,bounded_no_refill
Lua,luaZ_read,2-0,0,10,10,0,True,bounded_no_refill
Lua,luaZ_read,2-1,9,19,10,9,True,bounded_no_refill
Lua,luaZ_read,2-2,11,21,10,11,True,bounded_no_refill
Lua,luaZ_read,2-3,13,23,10,13,True,bounded_no_refill
Lua,luaZ_read,3-0,0,10,10,0,True,bounded_no_refill
Lua,luaZ_read,3-1,9,19,10,9,True,bounded_no_refill
Lua,luaZ_read,3-2,11,21,10,11,True,bounded_no_refill
Lua,luaZ_read,3-3,13,23,10,13,True,bounded_no_refill
