index,program,status,c_syntax,dp_status,dfs_status,functions_checked,static_equal_functions,notes
0,address-of-a-variable-7.c,pass_full_replay,valid,0,0,1,1,
1,arrays-10.c,pass_static_only,valid,0,0,1,1,replay undefined
2,bitwise-operations-2.c,pass_static_only,valid,0,0,1,1,replay undefined
3,combinations-1.c,dp_failed,valid,timeout,,0,0,120s attempt + 300s retry both exhausted
4,count-the-coins-2.c,pass_full_replay,valid,0,0,1,1,
5,detect-division-by-zero.c,pass_full_replay,valid,0,0,1,1,
6,enforced-immutability-1.c,pass_full_replay,valid,0,0,1,1,
7,factorial-2.c,pass_full_replay,valid,0,0,1,1,
8,function-definition-3.c,pass_full_replay,valid,0,0,1,1,
9,hailstone-sequence-2.c,dp_failed,valid,timeout,,0,0,90s diagnostic timed out; two standard-budget attempts were interrupted by runner shutdown around 103s
10,jump-anywhere-5.c,pass_full_replay,valid,0,0,1,1,
11,machine-code.c,pass_full_replay,valid,0,0,1,1,
12,n-queens-problem-3.c,dp_failed,invalid,timeout,,0,0,source is invalid C and epat++ reports unsupported type int[33]
13,pascals-triangle-puzzle-1.c,pass_static_only,valid,0,0,1,1,replay unsupported signature
14,pointers-and-references-9.c,pass_static_only,valid,0,0,1,1,replay unsupported signature
15,remove-duplicate-elements-1.c,pass_partial_replay,valid,0,0,2,2,one replay match and one unsupported signature
16,scope-modifiers-1.c,pass_static_only,valid,0,0,1,1,replay undefined
17,soap-1.c,pass_full_replay,valid,0,0,1,1,
18,string-length-3.c,pass_full_replay,valid,0,0,1,1,
19,terminal-control-positional-read.c,pass_full_replay,valid,0,0,1,1,
20,unix-ls.c,dp_failed,valid,timeout,,0,0,120s attempt + 300s retry both exhausted
21,window-management.c,dp_failed,valid,timeout,,0,0,120s attempt + 300s retry both exhausted; epat++ also reports unsupported type int[100]
