id,group,category,status,max_loop,dp_mems,no_memo_mems,dfs_mems,structural_mems,structural_gap,dp_time_s,no_memo_time_s,dfs_time_s,structural_time_s,dp_calls,memo_lookups,memo_hits,memo_misses,memo_hit_rate,memo_states,terminal_evals,terminal_infeasible,detail
mw01,witness20,branch-array,pass,4,5,5,5,5,0,0.0616228,0.061007,0.0644527,0.0679107,13,13,0,13,0.0,13,2,0,
mw02,witness20,nested-branch,pass,4,7,7,7,7,0,0.0841468,0.0810667,0.0812361,0.0812936,20,20,0,20,0.0,20,3,0,
mw03,witness20,branch-write,pass,4,5,5,5,5,0,0.0585886,0.0588367,0.0587611,0.0580475,13,13,0,13,0.0,13,2,0,
mw04,witness20,fixed-for,pass,4,6,6,6,6,0,0.108649,0.107823,0.111902,0.110143,25,25,0,25,0.0,25,4,3,
mw05,witness20,loop-branch,pass,4,9,9,9,9,0,0.370491,0.370903,0.368794,0.371078,94,94,0,94,0.0,94,15,13,
mw06,witness20,fixed-while,pass,5,8,8,8,14,6,0.232143,0.2281,0.228759,0.2281,71,71,0,71,0.0,71,11,10,
mw07,witness20,short-circuit-array,pass,4,4,4,4,4,0,0.0678526,0.0681543,0.0690202,0.0674396,12,12,0,12,0.0,12,2,0,
mw08,witness20,array-write-chain,pass,4,7,7,7,7,0,0.0598375,0.0607743,0.0614996,0.0599861,14,14,0,14,0.0,14,2,0,
mw09,witness20,array-loop-write,pass,4,12,12,12,12,0,0.122746,0.122946,0.124089,0.123634,28,28,0,28,0.0,28,4,3,
mw10,witness20,array-two-branch,pass,4,5,5,5,5,0,0.0608913,0.0605282,0.0607588,0.0605756,13,13,0,13,0.0,13,2,0,
mw11,witness20,three-read-branch,pass,4,6,6,6,6,0,0.06533,0.0664204,0.0662808,0.065391,13,13,0,13,0.0,13,2,0,
mw12,witness20,two-arrays,pass,4,8,8,8,8,0,0.0812889,0.0821409,0.0849842,0.0812901,15,15,0,15,0.0,15,2,0,
mw13,witness20,nested-loops,pass,4,8,8,8,8,0,0.367546,0.365068,0.36537,0.360694,100,100,0,100,0.0,100,13,12,
mw14,witness20,input-bounded-loop,pass,5,6,6,6,11,5,0.203534,0.198948,0.199053,0.199884,58,58,0,58,0.0,58,9,5,
mw15,witness20,memory-condition,pass,4,5,5,5,5,0,0.0606607,0.0605418,0.0615417,0.0609279,12,12,0,12,0.0,12,2,0,
mw16,witness20,conditional-writes,pass,4,7,7,7,7,0,0.0609415,0.0607637,0.061375,0.0610325,15,15,0,15,0.0,15,2,0,
mw17,witness20,sequential-branches,pass,4,6,6,6,6,0,0.0911957,0.0932891,0.0935621,0.0923516,25,25,0,25,0.0,25,4,0,
mw18,witness20,else-if,pass,4,7,7,7,7,0,0.084203,0.0840213,0.0864066,0.0851076,18,18,0,18,0.0,18,3,0,
mw19,witness20,array-condition-nested,pass,4,5,5,5,5,0,0.0736033,0.0730036,0.0738507,0.0727944,18,18,0,18,0.0,18,3,0,
mw20,witness20,tie-paths,pass,4,4,4,4,4,0,0.063048,0.0635827,0.0630742,0.0632733,12,12,0,12,0.0,12,2,0,
mb01,correlation5,correlated-branches,pass,4,8,8,8,10,2,0.0780091,0.0772985,0.0777001,0.0768153,24,24,0,24,0.0,24,4,2,
mb02,correlation5,equality-conflict,pass,4,9,9,9,12,3,0.0773634,0.076127,0.0766444,0.0752725,25,25,0,25,0.0,25,4,2,
mb03,correlation5,range-conflict,pass,4,8,8,8,10,2,0.0798024,0.0802917,0.0814265,0.0798099,24,24,0,24,0.0,24,4,1,
mb04,correlation5,three-way-correlation,pass,4,8,8,8,12,4,0.124894,0.124117,0.124386,0.124774,45,45,0,45,0.0,45,8,5,
mb05,correlation5,loop-exit-correlation,pass,4,6,6,6,12,6,0.280112,0.276957,0.278591,0.278082,82,82,0,82,0.0,82,14,11,
