id,domain,enumerated_inputs,oracle_projected_count,oracle_weighted_sum,oracle_average_mems,oracle_max_mems,cnip_solution_count,cnip_average_mems,cnip_max_mems,exit_code,match
or01_one_read,"[-1,1]",3,1,3,1.00000000,1,1,1,1,0,PASS
or02_two_reads,"[-1,1]",3,1,6,2.00000000,2,1,2,2,0,PASS
or03_equal_branch,"[-1,1]",3,3,3,1.00000000,1,3,1,1,0,PASS
or04_skewed_read,"[-1,1]",3,3,4,1.33333333,2,3,1.33333,2,0,PASS
or05_skewed_read_inverse,"[-1,1]",3,3,5,1.66666667,3,3,1.66667,3,0,PASS
or06_nested,"[-1,1]",3,3,4,1.33333333,2,3,1.33333,2,0,PASS
or07_write,"[-1,1]",3,3,9,3.00000000,3,3,3,3,0,PASS
or08_pointer_read,"[-1,1]",3,3,4,1.33333333,2,3,1.33333,2,0,PASS
or09_pointer_write,"[-1,1]",3,3,5,1.66666667,3,3,1.66667,3,0,PASS
or10_two_conditions,"[-1,1]",3,3,4,1.33333333,2,3,1.33333,2,0,PASS
