id,source,category,features,expected_support,lower,upper,maxloop,maxpaths,compile_status,run_status,elapsed_seconds,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems,path_limit_hit,zero_diagnostic,average_to_max_ratio
gt06,testcase/probmems_ground_truth/gt06_fixed_loop_array.c,array,array_fixed_loop,supported,-1,1,5,100,PASS,PASS,0,1,1,3,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt07,testcase/probmems_ground_truth/gt07_bounded_input_loop.c,array,array_input_loop,supported,-1,1,5,100,PASS,PASS,1,5,3,1,0.333333,3,NO,NONZERO_OR_ZERO_COST,0.11111100
gt08,testcase/probmems_ground_truth/gt08_array_index_branch.c,array,array_symbolic_index,supported,-1,1,1,100,PASS,PASS,0,2,3,3,1,1,NO,NONZERO_OR_ZERO_COST,1.00000000
gt09,testcase/probmems_ground_truth/gt09_array_sum_threshold.c,array,array_branch,supported,-1,1,1,100,PASS,PASS,0,2,81,324,4,4,NO,NONZERO_OR_ZERO_COST,1.00000000
gt10,testcase/probmems_ground_truth/gt10_array_first_match.c,array,array_early_return_loop,supported,-1,1,5,100,PASS,PASS,0,4,45,123,2.73333,3,NO,NONZERO_OR_ZERO_COST,0.91111000
gt11,testcase/probmems_ground_truth/gt11_array_prefix_conditional.c,array,array_loop_branch,supported,-1,1,5,100,PASS,PASS,0,7,5,4,0.8,6,NO,NONZERO_OR_ZERO_COST,0.13333333
gt19,testcase/probmems_ground_truth/gt19_nested_loop_array.c,array,nested_loop_array,supported,-1,1,5,100,PASS,PASS,1,1,1,4,4,4,NO,NONZERO_OR_ZERO_COST,1.00000000
gt20,testcase/probmems_ground_truth/gt20_function_call.c,call,array_pointer_call,measure,-1,1,1,100,PASS,FAIL,0,1,1,1,1,1,NO,ANALYSIS_FAILURE,1.00000000
gt17,testcase/probmems_ground_truth/gt17_array_pointer_mix.c,mixed,array_pointer,measure,-1,1,1,100,PASS,PASS,0,2,9,33,3.66667,5,NO,NONZERO_OR_ZERO_COST,0.73333400
gt12,testcase/probmems_ground_truth/gt12_pointer_read.c,pointer,pointer_read,measure,-1,1,1,100,PASS,PASS,0,2,3,3,1,1,NO,NONZERO_OR_ZERO_COST,1.00000000
gt13,testcase/probmems_ground_truth/gt13_pointer_write.c,pointer,pointer_write,measure,-1,1,1,100,PASS,PASS,0,2,3,6,2,2,NO,NONZERO_OR_ZERO_COST,1.00000000
gt14,testcase/probmems_ground_truth/gt14_pointer_two_element.c,pointer,pointer_read_branch,measure,-1,1,1,100,PASS,PASS,0,2,9,25,2.77778,3,NO,NONZERO_OR_ZERO_COST,0.92592667
gt15,testcase/probmems_ground_truth/gt15_pointer_branch_write.c,pointer,pointer_read_write,measure,-1,1,1,100,PASS,PASS,0,2,12,52,4.33333,5,NO,NONZERO_OR_ZERO_COST,0.86666600
gt16,testcase/probmems_ground_truth/gt16_pointer_alias_candidate.c,pointer,pointer_aliasing,expected_unsupported,-1,1,1,100,PASS,PASS,0,2,34,175,5.14706,7,NO,NONZERO_OR_ZERO_COST,0.73529429
gt18,testcase/probmems_ground_truth/gt18_pointer_loop.c,pointer,pointer_loop,measure,-1,1,5,100,PASS,PASS,1,4,5,3,0.6,3,NO,NONZERO_OR_ZERO_COST,0.20000000
gt01,testcase/probmems_ground_truth/gt01_scalar_three_way.c,scalar,branch,supported,-1,1,1,100,PASS,PASS,0,3,3,0,0,0,NO,ZERO_COST_PATHS,N/A
gt02,testcase/probmems_ground_truth/gt02_scalar_nested.c,scalar,nested_branch,supported,-1,1,1,100,PASS,PASS,0,3,5,0,0,0,NO,ZERO_COST_PATHS,N/A
gt03,testcase/probmems_ground_truth/gt03_short_circuit.c,scalar,short_circuit,supported,-1,1,1,100,PASS,PASS,1,2,27,0,0,0,NO,ZERO_COST_PATHS,N/A
gt04,testcase/probmems_ground_truth/gt04_infeasible_condition.c,scalar,infeasible_path,supported,-1,1,1,100,PASS,PASS,0,1,3,0,0,0,NO,ZERO_COST_PATHS,N/A
gt05,testcase/probmems_ground_truth/gt05_zero_memory.c,scalar,zero_memory,supported,-1,1,1,100,PASS,PASS,0,2,3,0,0,0,NO,ZERO_COST_PATHS,N/A
