id,runs,pass_runs,stable_status,stable_selected_maxloop,stable_solution_space_count,stable_weighted_average_mems,stable_dfs_max_mems,elapsed_min,elapsed_median,elapsed_max
gt01,3,3,PASS,1,3,0,0,0,0,0
gt02,3,3,PASS,1,5,0,0,0,0,1
gt03,3,3,PASS,1,27,0,0,0,0,0
gt04,3,3,PASS,1,3,0,0,0,0,0
gt05,3,3,PASS,1,3,0,0,0,0,0
gt06,3,3,PASS,5,1,3,3,0,0,0
gt07,3,3,PASS,5,3,0.333333,4,0,1,1
gt08,3,3,PASS,1,3,1,1,0,0,0
gt09,3,3,PASS,1,81,4,4,0,0,1
gt10,3,3,PASS,5,45,2.73333,3,0,0,0
gt11,3,3,PASS,5,5,0.8,8,0,1,1
gt12,3,3,PASS,1,3,1,1,0,0,0
gt13,3,3,PASS,1,3,2,2,0,0,0
gt14,3,3,PASS,1,9,2.77778,3,0,0,1
gt15,3,3,PASS,1,12,4.33333,5,0,0,1
gt16,3,3,PASS,1,34,5.14706,7,0,0,0
gt17,3,3,PASS,1,9,3.66667,5,0,0,0
gt18,3,3,PASS,5,5,0.6,3,0,0,0
gt19,3,3,PASS,3,1,4,4,0,1,1
gt20,3,0,FAIL,N/A,N/A,N/A,N/A,1,1,1
gt21,3,3,PASS,1,3,3,3,0,0,0
gt22,3,3,PASS,5,1,5,5,0,0,1
gt23,3,3,PASS,5,3,0.333333,5,0,0,0
gt24,3,3,PASS,4,1,6,6,8,8,10
gt25,3,3,PASS,1,3,3,3,0,0,1
gt26,3,3,PASS,5,3,1,1,0,0,0
gt27,3,3,PASS,4,1,8,8,0,0,1
gt28,3,3,PASS,3,1,6,6,0,0,0
gt29,3,3,PASS,1,12,2,2,0,0,0
gt30,3,3,PASS,1,3,3,3,0,0,1
gt31,3,3,PASS,5,3,5,5,0,0,0
gt32,3,3,PASS,1,9,2,2,0,0,0
gt33,3,3,PASS,1,13,3,3,0,0,0
gt34,3,3,PASS,1,1,6,6,0,0,0
gt35,3,3,PASS,5,6,1.33333,10,0,0,1
gt36,3,3,PASS,5,3,1,13,0,1,1
gt37,3,3,PASS,1,3,3,3,0,0,0
gt38,3,3,PASS,4,1,9,9,0,0,0
gt39,3,3,PASS,5,5,1,10,0,0,0
gt40,3,3,PASS,4,3,6,6,11,11,11
