subject,source,input_kind,domain_label,lower,upper,maxloop,maxpaths,compile_status,run_status,elapsed_seconds,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems,path_limit_hit,zero_diagnostic,average_to_max_ratio
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,1,80,PASS,PASS,52,66,837,8205,9.80287,15,NO,NONZERO_OR_ZERO_COST,0.65352467
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,2,80,PASS,PASS,85,80,675,6525,9.66667,16,YES,NONZERO_OR_ZERO_COST,0.60416687
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,3,80,PASS,PASS,117,80,675,6525,9.66667,17,YES,NONZERO_OR_ZERO_COST,0.56862765
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,5,80,PASS,PASS,116,80,675,6525,9.66667,17,YES,NONZERO_OR_ZERO_COST,0.56862765
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,8,80,PASS,PASS,116,80,675,6525,9.66667,17,YES,NONZERO_OR_ZERO_COST,0.56862765
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d1,-1,1,10,80,PASS,PASS,117,80,675,6525,9.66667,17,YES,NONZERO_OR_ZERO_COST,0.56862765
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,1,80,PASS,TIMEOUT,180,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,2,80,PASS,TIMEOUT,180,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,3,80,PASS,TIMEOUT,181,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,5,80,PASS,TIMEOUT,180,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,8,80,PASS,TIMEOUT,180,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
cJSON,testcase/llm_summaries/cjson_parse_summary.c,normalized_large-project_summary,d3,-3,3,10,80,PASS,TIMEOUT,180,0,N/A,N/A,N/A,N/A,NO,COUNT_TIMEOUT,N/A
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,1,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
