id,source,category,features,memory_access_syntax,expected_support,lower,upper,requested_maxloop,selected_maxloop,attempted_maxloops,adaptive_retry_count,maxpaths,compile_status,run_status,elapsed_seconds,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems,path_limit_hit,zero_diagnostic,average_to_max_ratio
gt06,testcase/probmems_ground_truth/gt06_fixed_loop_array.c,array,array_fixed_loop,YES,supported,-1,1,5,5,5,0,100,PASS,PASS,0,1,1,3,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt07,testcase/probmems_ground_truth/gt07_bounded_input_loop.c,array,array_input_loop,YES,supported,-1,1,5,5,5,0,100,PASS,PASS,0,7,3,1,0.333333,4,NO,NONZERO_OR_ZERO_COST,0.08333325
gt08,testcase/probmems_ground_truth/gt08_array_index_branch.c,array,array_symbolic_index,YES,supported,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,3,1,1,NO,NONZERO_OR_ZERO_COST,1.00000000
gt09,testcase/probmems_ground_truth/gt09_array_sum_threshold.c,array,array_branch,YES,supported,-1,1,1,1,1,0,100,PASS,PASS,1,2,81,324,4,4,NO,NONZERO_OR_ZERO_COST,1.00000000
gt10,testcase/probmems_ground_truth/gt10_array_first_match.c,array,array_early_return_loop,YES,supported,-1,1,5,5,5,0,100,PASS,PASS,0,4,45,123,2.73333,3,NO,NONZERO_OR_ZERO_COST,0.91111000
gt11,testcase/probmems_ground_truth/gt11_array_prefix_conditional.c,array,array_loop_branch,YES,supported,-1,1,5,5,5,0,100,PASS,PASS,0,9,5,4,0.8,8,NO,NONZERO_OR_ZERO_COST,0.10000000
gt19,testcase/probmems_ground_truth/gt19_nested_loop_array.c,array,nested_loop_array,YES,supported,-1,1,5,4,5|6|7|8|9|4,5,100,PASS,PASS,610,1,1,4,4,4,NO,NONZERO_OR_ZERO_COST,1.00000000
gt21,testcase/probmems_ground_truth/gt21_array_branch_read.c,array,array_branch_read,YES,supported,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,9,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt22,testcase/probmems_ground_truth/gt22_array_fixed_five_loop.c,array,array_fixed_loop_5,YES,supported,-1,1,5,5,5,0,100,PASS,PASS,1,1,1,5,5,5,NO,NONZERO_OR_ZERO_COST,1.00000000
gt23,testcase/probmems_ground_truth/gt23_array_input_bounded_five.c,array,array_input_loop_5,YES,supported,-1,1,8,8,8,0,100,PASS,PASS,0,6,3,1,0.333333,5,NO,NONZERO_OR_ZERO_COST,0.06666660
gt24,testcase/probmems_ground_truth/gt24_array_nested_two_three.c,array,nested_loop_array_2x3,YES,supported,-1,1,8,4,8|9|10|11|12|7|6|5|4,8,100,PASS,PASS,970,1,1,6,6,6,NO,NONZERO_OR_ZERO_COST,1.00000000
gt25,testcase/probmems_ground_truth/gt25_array_conditional_write.c,array,array_read_write_branch,YES,supported,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,9,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt26,testcase/probmems_ground_truth/gt26_array_early_break_style.c,array,array_search_loop,YES,supported,-1,1,8,8,8,0,100,PASS,PASS,0,1,3,3,1,1,NO,NONZERO_OR_ZERO_COST,1.00000000
gt27,testcase/probmems_ground_truth/gt27_two_array_dot.c,array,two_array_loop,YES,supported,-1,1,4,4,4,0,100,PASS,PASS,1,1,1,8,8,8,NO,NONZERO_OR_ZERO_COST,1.00000000
gt28,testcase/probmems_ground_truth/gt28_array_reverse_pairs.c,array,array_two_reads_loop,YES,supported,-1,1,8,8,8,0,100,PASS,PASS,0,1,1,6,6,6,NO,NONZERO_OR_ZERO_COST,1.00000000
gt20,testcase/probmems_ground_truth/gt20_function_call.c,call,array_pointer_call,YES,measure,-1,1,1,N/A,1|2|3|4|5|12,0,100,PASS,FAIL,1,1,N/A,N/A,N/A,N/A,NO,ANALYSIS_FAILURE,N/A
gt17,testcase/probmems_ground_truth/gt17_array_pointer_mix.c,mixed,array_pointer,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,9,33,3.66667,5,NO,NONZERO_OR_ZERO_COST,0.73333400
gt37,testcase/probmems_ground_truth/gt37_array_pointer_alias_read.c,mixed,array_pointer_alias,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,9,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt38,testcase/probmems_ground_truth/gt38_array_pointer_copy.c,mixed,array_pointer_copy_loop,YES,measure,-1,1,4,4,4,0,100,PASS,PASS,0,1,1,9,9,9,NO,NONZERO_OR_ZERO_COST,1.00000000
gt39,testcase/probmems_ground_truth/gt39_array_pointer_loop_branch.c,mixed,array_pointer_branch_loop,YES,measure,-1,1,8,8,8,0,100,PASS,PASS,0,11,5,5,1,10,NO,NONZERO_OR_ZERO_COST,0.10000000
gt40,testcase/probmems_ground_truth/gt40_nested_pointer_access.c,mixed,nested_pointer_loop,YES,measure,-1,1,8,4,8|9|10|11|12|7|6|5|4,8,100,PASS,PASS,972,1,3,18,6,6,NO,NONZERO_OR_ZERO_COST,1.00000000
gt12,testcase/probmems_ground_truth/gt12_pointer_read.c,pointer,pointer_read,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,3,1,1,NO,NONZERO_OR_ZERO_COST,1.00000000
gt13,testcase/probmems_ground_truth/gt13_pointer_write.c,pointer,pointer_write,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,6,2,2,NO,NONZERO_OR_ZERO_COST,1.00000000
gt14,testcase/probmems_ground_truth/gt14_pointer_two_element.c,pointer,pointer_read_branch,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,9,25,2.77778,3,NO,NONZERO_OR_ZERO_COST,0.92592667
gt15,testcase/probmems_ground_truth/gt15_pointer_branch_write.c,pointer,pointer_read_write,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,12,52,4.33333,5,NO,NONZERO_OR_ZERO_COST,0.86666600
gt16,testcase/probmems_ground_truth/gt16_pointer_alias_candidate.c,pointer,pointer_aliasing,YES,expected_unsupported,-1,1,1,1,1,0,100,PASS,PASS,0,2,34,175,5.14706,7,NO,NONZERO_OR_ZERO_COST,0.73529429
gt18,testcase/probmems_ground_truth/gt18_pointer_loop.c,pointer,pointer_loop,YES,measure,-1,1,5,5,5,0,100,PASS,PASS,0,4,5,3,0.6,3,NO,NONZERO_OR_ZERO_COST,0.20000000
gt29,testcase/probmems_ground_truth/gt29_pointer_deref_branch.c,pointer,pointer_deref_branch,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,1,2,12,24,2,2,NO,NONZERO_OR_ZERO_COST,1.00000000
gt30,testcase/probmems_ground_truth/gt30_pointer_conditional_write.c,pointer,pointer_read_write_branch,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,9,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt31,testcase/probmems_ground_truth/gt31_pointer_fixed_five_loop.c,pointer,pointer_fixed_loop_5,YES,measure,-1,1,5,5,5,0,100,PASS,PASS,0,1,3,15,5,5,NO,NONZERO_OR_ZERO_COST,1.00000000
gt32,testcase/probmems_ground_truth/gt32_pointer_offset_read.c,pointer,pointer_offset_read,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,9,18,2,2,NO,NONZERO_OR_ZERO_COST,1.00000000
gt33,testcase/probmems_ground_truth/gt33_two_pointer_compare.c,pointer,two_pointer_branch,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,2,13,39,3,3,NO,NONZERO_OR_ZERO_COST,1.00000000
gt34,testcase/probmems_ground_truth/gt34_pointer_swap.c,pointer,pointer_swap_read_write,YES,measure,-1,1,1,1,1,0,100,PASS,PASS,0,1,1,6,6,6,NO,NONZERO_OR_ZERO_COST,1.00000000
gt35,testcase/probmems_ground_truth/gt35_pointer_loop_branch.c,pointer,pointer_loop_branch_5,YES,measure,-1,1,8,8,8,0,100,PASS,PASS,0,11,6,8,1.33333,10,NO,NONZERO_OR_ZERO_COST,0.13333300
gt36,testcase/probmems_ground_truth/gt36_pointer_prefix_write.c,pointer,pointer_loop_read_write,YES,measure,-1,1,8,8,8,0,100,PASS,PASS,1,5,3,3,1,13,NO,NONZERO_OR_ZERO_COST,0.07692308
gt01,testcase/probmems_ground_truth/gt01_scalar_three_way.c,scalar,branch,NO,supported,-1,1,1,1,1,0,100,PASS,PASS,0,3,3,0,0,0,NO,ZERO_NO_MEMORY_ACCESS,N/A
gt02,testcase/probmems_ground_truth/gt02_scalar_nested.c,scalar,nested_branch,NO,supported,-1,1,1,1,1,0,100,PASS,PASS,0,3,5,0,0,0,NO,ZERO_NO_MEMORY_ACCESS,N/A
gt03,testcase/probmems_ground_truth/gt03_short_circuit.c,scalar,short_circuit,NO,supported,-1,1,1,1,1,0,100,PASS,PASS,0,2,27,0,0,0,NO,ZERO_NO_MEMORY_ACCESS,N/A
gt04,testcase/probmems_ground_truth/gt04_infeasible_condition.c,scalar,infeasible_path,NO,supported,-1,1,1,1,1,0,100,PASS,PASS,1,1,3,0,0,0,NO,ZERO_NO_MEMORY_ACCESS,N/A
gt05,testcase/probmems_ground_truth/gt05_zero_memory.c,scalar,zero_memory,NO,supported,-1,1,1,1,1,0,100,PASS,PASS,0,2,3,0,0,0,NO,ZERO_NO_MEMORY_ACCESS,N/A
