case,c_compile,eppather_run,maxloop,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems
testcase/dp_maxmem_branch.c,PASS,PASS,1,1,1,2,2,2
testcase/dp_maxmem_single.c,PASS,PASS,3,1,1,4,4,4
testcase/dp_maxmem_nested.c,PASS,PASS,3,1,1,3,3,3
testcase/summary_global_multi.c,PASS,PASS,1,4,6,3,0.5,1
testcase/test08.c,PASS,PASS,1,4,510,2004,3.92941,5
testcase/test09.c,PASS,PASS,1,13,105,684,6.51429,8
testcase/test17.c,PASS,PASS,1,4,731,1215,1.66211,2
testcase/test24.c,PASS,PASS,1,3,735,729,0.991837,1
testcase/test26.c,PASS,PASS,1,2,245,972,3.96735,4
testcase/example9-test.c,PASS,PASS,1,6,3,0,0,4
