case,c_compile,eppather_run,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems
testcase/test01.c,PASS,PASS,6,72,0,0,0
testcase/test02.c,PASS,PASS,5,872,0,0,0
testcase/test04.c,PASS,PASS,2,6,0,0,0
testcase/dp_maxmem_branch.c,PASS,PASS,1,1,2,2,2
testcase/test13.c,PASS,PASS,3,10,0,0,0
testcase/test14.c,PASS,PASS,4,20,0,0,0
testcase/test15.c,PASS,PASS,4,9,0,0,0
testcase/test16.c,PASS,PASS,7,21,0,0,0
testcase/dp_maxmem_single.c,PASS,PASS,1,1,4,4,4
testcase/dp_maxmem_nested.c,PASS,PASS,1,1,3,3,3
