Project,File,SummaryCommand,SummaryOK,WorstPathCommand,WorstPathOK,WorstMems,WorstPath,FunctionsAnalyzed,SummaryLog,WorstPathLog,ErrorLog,Error
cJSON,cJSON.c,./cnip -q /workspace/eppather/testcase/cJSON-master/cJSON.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,./cnip -g /workspace/eppather/testcase/cJSON-master/cJSON.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,,,16,testcase/cnip_reports/cjson/cJSON.c.summary.log,testcase/cnip_reports/cjson/cJSON.c.worst.log,testcase/cnip_reports/cjson/cJSON.c.error.log,see logs
cJSON,cJSON_Utils.c,./cnip -q /workspace/eppather/testcase/cJSON-master/cJSON_Utils.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,./cnip -g /workspace/eppather/testcase/cJSON-master/cJSON_Utils.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,,,3,testcase/cnip_reports/cjson/cJSON_Utils.c.summary.log,testcase/cnip_reports/cjson/cJSON_Utils.c.worst.log,testcase/cnip_reports/cjson/cJSON_Utils.c.error.log,see logs
cJSON,test.c,./cnip -q /workspace/eppather/testcase/cJSON-master/test.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,./cnip -g /workspace/eppather/testcase/cJSON-master/test.c --cpp-I /workspace/eppather/testcase/cJSON-master --cpp-I /workspace/eppather/testcase/cJSON-master,False,,,8,testcase/cnip_reports/cjson/test.c.summary.log,testcase/cnip_reports/cjson/test.c.worst.log,testcase/cnip_reports/cjson/test.c.error.log,see logs
tinyexpr,benchmark.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/benchmark.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/benchmark.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,8,testcase/cnip_reports/tinyexpr/benchmark.c.summary.log,testcase/cnip_reports/tinyexpr/benchmark.c.worst.log,,
tinyexpr,example.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/example.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,./cnip -g /workspace/eppather/testcase/tinyexpr-master/example.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,0,testcase/cnip_reports/tinyexpr/example.c.summary.log,testcase/cnip_reports/tinyexpr/example.c.worst.log,testcase/cnip_reports/tinyexpr/example.c.error.log,see logs
tinyexpr,example2.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/example2.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/example2.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,2,testcase/cnip_reports/tinyexpr/example2.c.summary.log,testcase/cnip_reports/tinyexpr/example2.c.worst.log,,
tinyexpr,example3.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/example3.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/example3.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,2,testcase/cnip_reports/tinyexpr/example3.c.summary.log,testcase/cnip_reports/tinyexpr/example3.c.worst.log,,
tinyexpr,repl.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/repl.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/repl.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,5,testcase/cnip_reports/tinyexpr/repl.c.summary.log,testcase/cnip_reports/tinyexpr/repl.c.worst.log,,
tinyexpr,smoke.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/smoke.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/smoke.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,23,testcase/cnip_reports/tinyexpr/smoke.c.summary.log,testcase/cnip_reports/tinyexpr/smoke.c.worst.log,,
tinyexpr,tinyexpr.c,./cnip -q /workspace/eppather/testcase/tinyexpr-master/tinyexpr.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,True,./cnip -g /workspace/eppather/testcase/tinyexpr-master/tinyexpr.c --cpp-I /workspace/eppather/testcase/tinyexpr-master --cpp-I /workspace/eppather/testcase/tinyexpr-master,False,,,24,testcase/cnip_reports/tinyexpr/tinyexpr.c.summary.log,testcase/cnip_reports/tinyexpr/tinyexpr.c.worst.log,,
lua,src/lapi.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lapi.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lapi.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,81,testcase/cnip_reports/lua/src__lapi.c.summary.log,testcase/cnip_reports/lua/src__lapi.c.worst.log,,
lua,src/lauxlib.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lauxlib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lauxlib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,58,testcase/cnip_reports/lua/src__lauxlib.c.summary.log,testcase/cnip_reports/lua/src__lauxlib.c.worst.log,testcase/cnip_reports/lua/src__lauxlib.c.error.log,see logs
lua,src/lbaselib.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lbaselib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lbaselib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,31,testcase/cnip_reports/lua/src__lbaselib.c.summary.log,testcase/cnip_reports/lua/src__lbaselib.c.worst.log,testcase/cnip_reports/lua/src__lbaselib.c.error.log,see logs
lua,src/lcode.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lcode.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lcode.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,0,"static int codesJ (FuncState *fs, OpCode o, int sj, int k); | LexState *ls; | const char *fmt; | const char *msg; | va_list argp; | const expdesc *e; | TValue *v; | FuncState *fs; | const expdesc *e; | FuncState *fs; | const expdesc *e; | TValue *v; | FuncState *fs; | static const Instruction invalidinstruction = ~(Instruction)0; | FuncState *fs; | int pc; | int offset = GETARG_sJ(fs->f->code[pc]); | FuncState *fs; | int pc; | int dest; | int offset = dest - (pc + 1); | FuncState *fs; | int *l1; | int l2; | FuncState *fs; | FuncState *fs; | int first; | int nret; | OpCode op; | FuncState *fs; | OpCode op; | int A; | int B; | int C; | int k; | FuncState *fs; | FuncState *fs; | int pc; | FuncState *fs; | int node; | int reg; | FuncState *fs; | int list; | FuncState *fs; | int list; | int vtarget; | int reg; | int dtarget; | FuncState *fs; | int list; | int target; | FuncState *fs; | int list; | int hr = luaK_getlabel(fs); | FuncState *fs; | Proto *f; | int line; | int linedif = line - fs->previousline; | int pc = fs->pc - 1; | FuncState *fs; | int pc = fs->pc - 1; | FuncState *fs; | FuncState *fs; | Instruction i; | FuncState *fs; | OpCode o; | int A; | int B; | int C; | int k; | FuncState *fs; | OpCode o; | int A; | int B; | int C; | int k; | FuncState *fs; | OpCode o; | int A; | int Bc; | FuncState *fs; | OpCode o; | int A; | int Bc; | int b = Bc + OFFSET_sBx; | FuncState *fs; | OpCode o; | int sj; | int k; | int j = sj + OFFSET_sJ; | FuncState *fs; | int A; | FuncState *fs; | int reg; | int k; | FuncState *fs; | int n; | int newstack = fs->freereg + n; | FuncState *fs; | int n; | FuncState *fs; | int reg; | FuncState *fs; | int r1; | int r2; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e1; | expdesc *e2; | int r1 = (e1->k == VNONRELOC) ? e1->u.info : -1; | int r2 = (e2->k == VNONRELOC) ? e2->u.info : -1; | FuncState *fs; | Proto *f; | TValue *v; | int oldsize = f->sizek; | int k = fs->nk; | FuncState *fs; | TValue *key; | TValue *v; | TValue val; | int tag = luaH_get(fs->kcache, key, &val); | FuncState *fs; | TString *s; | TValue o; | FuncState *fs; | lua_Integer n; | TValue o; | FuncState *fs; | lua_Number r; | TValue o, kv; | FuncState *fs; | TValue o; | FuncState *fs; | TValue o; | FuncState *fs; | TValue k, v; | lua_Integer i; | lua_Integer i; | FuncState *fs; | int reg; | lua_Integer i; | FuncState *fs; | int reg; | lua_Number f; | lua_Integer fi; | FuncState *fs; | expdesc *var; | int k; | int line; | TValue *v; | expdesc *e; | FuncState *fs; | expdesc *e; | int nresults; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *var; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | int reg; | FuncState *fs; | expdesc *e; | FuncState *fs; | int A; | OpCode op; | FuncState *fs; | int list; | FuncState *fs; | expdesc *e; | int reg; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | FuncState *fs; | OpCode o; | int A; | int B; | expdesc *ec; | int k = exp2RK(fs, ec); | FuncState *fs; | expdesc *var; | expdesc *ex; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | int cond; | FuncState *fs; | expdesc *e; | int pc; | FuncState *fs; | expdesc *e; | int pc; | FuncState *fs; | expdesc *e; | FuncState *fs; | expdesc *e; | expdesc *e; | expdesc *e; | expdesc *e; | expdesc *e; | int *pi; | int *isfloat; | lua_Integer i; | FuncState *fs; | expdesc *e; | expdesc *key; | int ereg, base; | expdesc *t; | int idx; | expkind k; | FuncState *fs; | expdesc *t; | expdesc *k; | int keystr = -1; | int op; | TValue *v1; | TValue *v2; | FuncState *fs; | int op; | expdesc *e1; | const expdesc *e2; | TValue v1, v2, res; | FuncState *fs; | OpCode op; | expdesc *e; | int line; | int r = luaK_exp2anyreg(fs, e); | FuncState *fs; | expdesc *e1; | expdesc *e2; | OpCode op; | int v2; | int flip; | int line; | OpCode mmop; | TMS event; | int v1 = luaK_exp2anyreg(fs, e1); | int pc = luaK_codeABCk(fs, op, 0, v1, v2, 0); | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int line; | OpCode op = binopr2op(opr, OPR_ADD, OP_ADD); | int v2 = luaK_exp2anyreg(fs, e2); | FuncState *fs; | OpCode op; | expdesc *e1; | expdesc *e2; | int flip; | int line; | TMS event; | int v2 = int2sC(cast_int(e2->u.ival)); | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int flip; | int line; | TMS event = binopr2TM(opr); | int v2 = e2->u.info; | OpCode op = binopr2op(opr, OPR_ADD, OP_ADDK); | FuncState *fs; | expdesc *e1; | expdesc *e2; | OpCode op; | int line; | TMS event; | expdesc *e1; | expdesc *e2; | expdesc temp = *e1; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int flip; | int line; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int flip; | int line; | FuncState *fs; | BinOpr op; | expdesc *e1; | expdesc *e2; | int line; | int flip = 0; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int line; | int flip = 0; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int r1, r2; | int im; | int isfloat = 0; | OpCode op; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int r1, r2; | int im; | int isfloat = 0; | OpCode op; | FuncState *fs; | UnOpr opr; | expdesc *e; | int line; | static const expdesc ef = {VKINT, {0}, NO_JUMP, NO_JUMP}; | FuncState *fs; | BinOpr op; | expdesc *v; | FuncState *fs; | expdesc *e1; | expdesc *e2; | int line; | FuncState *fs; | BinOpr opr; | expdesc *e1; | expdesc *e2; | int line; | FuncState *fs; | int line; | FuncState *fs; | int pc; | int ra; | int asize; | int hsize; | int extra = asize / (MAXARG_vC + 1); | int rc = asize % (MAXARG_vC + 1); | int k = (extra > 0); | FuncState *fs; | int base; | int nelems; | int tostore; | Instruction *code; | int i; | int count; | FuncState *fs; | int i; | pushvfstring(ls->L, argp, fmt, msg); | ls->t.token = 0; | ls->linenumber = ls->lastline; | luaX_syntaxerror(ls, msg);",96,testcase/cnip_reports/lua/src__lcode.c.summary.log,testcase/cnip_reports/lua/src__lcode.c.worst.log,testcase/cnip_reports/lua/src__lcode.c.error.log,see logs
lua,src/lcorolib.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lcorolib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lcorolib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,12,testcase/cnip_reports/lua/src__lcorolib.c.summary.log,testcase/cnip_reports/lua/src__lcorolib.c.worst.log,testcase/cnip_reports/lua/src__lcorolib.c.error.log,see logs
lua,src/lctype.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lctype.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lctype.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,,,0,testcase/cnip_reports/lua/src__lctype.c.summary.log,testcase/cnip_reports/lua/src__lctype.c.worst.log,,
lua,src/ldblib.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/ldblib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/ldblib.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,27,testcase/cnip_reports/lua/src__ldblib.c.summary.log,testcase/cnip_reports/lua/src__ldblib.c.worst.log,testcase/cnip_reports/lua/src__ldblib.c.error.log,see logs
lua,src/ldebug.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/ldebug.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/ldebug.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,41,testcase/cnip_reports/lua/src__ldebug.c.summary.log,testcase/cnip_reports/lua/src__ldebug.c.worst.log,testcase/cnip_reports/lua/src__ldebug.c.error.log,see logs
lua,src/ldo.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/ldo.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/ldo.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,37,testcase/cnip_reports/lua/src__ldo.c.summary.log,testcase/cnip_reports/lua/src__ldo.c.worst.log,testcase/cnip_reports/lua/src__ldo.c.error.log,see logs
lua,src/ldump.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/ldump.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/ldump.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,16,testcase/cnip_reports/lua/src__ldump.c.summary.log,testcase/cnip_reports/lua/src__ldump.c.worst.log,,
lua,src/lfunc.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lfunc.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lfunc.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,11,testcase/cnip_reports/lua/src__lfunc.c.summary.log,testcase/cnip_reports/lua/src__lfunc.c.worst.log,testcase/cnip_reports/lua/src__lfunc.c.error.log,see logs
lua,src/lgc.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/lgc.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/lgc.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,False,,,68,testcase/cnip_reports/lua/src__lgc.c.summary.log,testcase/cnip_reports/lua/src__lgc.c.worst.log,testcase/cnip_reports/lua/src__lgc.c.error.log,see logs
lua,src/linit.c,./cnip -q /workspace/eppather/testcase/lua-5.5.0/src/linit.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,./cnip -g /workspace/eppather/testcase/lua-5.5.0/src/linit.c --cpp-I /workspace/eppather/testcase/lua-5.5.0/src --cpp-I /workspace/eppather/testcase/lua-5.5.0,True,,,1,testcase/cnip_reports/lua/src__linit.c.summary.log,testcase/cnip_reports/lua/src__linit.c.worst.log,,
