C File,Objective Value,Coverage Percent,Error,Run Time (s)
binsearch.c,1.0,50.0,,0.7837777137756348
test07.c,1.0,23.68,,0.5517783164978027
test.c,0.0,0.0,,0.5037140846252441
test09.c,3.0,96.88,,0.49991464614868164
example4.c,4.0,100.0,,1.0696816444396973
topo.c,1.0,100.0,,33.51036763191223
test16.c,2.0,100.0,,0.48103761672973633
merge.c,1.0,15.71,,0.524200439453125
test14.c,2.0,93.75,,0.48604893684387207
example12.c,1.0,36.67,,3.5274829864501953
test06.c,1.0,96.43,,0.4964640140533447
test04.c,0.0,0.0,,0.49368810653686523
test02.c,2.0,100.0,,0.49831509590148926
example8.c,3.0,97.83,,4.226339340209961
test27.c,1.0,70.45,,0.4294545650482178
array.c,,,Error extracting results from matrix2.txt.,0.5032527446746826
test17.c,2.0,100.0,,0.7689239978790283
test12.c,0.0,0.0,,0.5682528018951416
example5.c,1.0,68.75,,0.684194803237915
test01.c,3.0,100.0,,0.4052772521972656
example2.c,1.0,78.57,,0.6268720626831055
array2.c,,,Error extracting results from matrix2.txt.,0.46922922134399414
test13.c,2.0,94.44,,0.43090343475341797
example9.c,5.0,97.83,,3.747112512588501
sieve.c,0.0,0.0,,0.359297513961792
test26.c,1.0,95.45,,0.352719783782959
example11.c,2.0,75.0,,28.83195686340332
example6.c,2.0,93.18,,26.686461925506592
example1.c,3.0,100.0,,0.4216022491455078
01bag.c,1.0,85.71,,0.39331698417663574
test05.c,0.0,0.0,,0.9539785385131836
test19.c,,,Error extracting results from matrix2.txt.,0.7818350791931152
mintree.c,,,Error extracting results from matrix2.txt.,0.6876051425933838
example7.c,2.0,77.27,Error executing './cnip' for example7.c: ,35.036675691604614
example10.c,1.0,26.79,,0.6903567314147949
prime.c,2.0,100.0,,2.646289110183716
warshall.c,1.0,100.0,,128.06246852874756
example14.c,0.0,0.0,,2.251513957977295
bubble.c,1.0,95.83,,0.4707465171813965
test25.c,2.0,96.88,,0.6226146221160889
dijkstra.c,1.0,91.3,,0.8205583095550537
test2.c,1.0,96.67,,1.278838872909546
astar.c,,,Error extracting results from matrix2.txt.,0.7012085914611816
test11.c,4.0,100.0,,4.243391752243042
test18.c,0.0,0.0,,0.7225089073181152
test15.c,1.0,91.67,,0.3592350482940674
example3.c,2.0,100.0,,33.48927855491638
test28.c,2.0,100.0,,2.0085296630859375
test23.c,1.0,100.0,,0.4831864833831787
example13.c,,,Error extracting results from matrix2.txt.,0.6411974430084229
test03.c,1.0,89.29,,1.118941307067871
test08.c,1.0,95.83,,0.47791194915771484
test22.c,1.0,100.0,,0.49359822273254395
