project,project_root,source,slice_mode,slice_file,entry,mode,epat_mode,returncode,timeout,seconds,summary_ok,has_function_summaries,has_program_summary,entry_seen,worst_mems,weighted_avg_mems,function_count,summary_case_count,call_edge_count,mems,dfs_time,dp_time,reason,notes,original_returncode,original_timeout,original_log,log,cmd
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_find_chars_or_comment__type_erased.c,ini_find_chars_or_comment,summary,pafi-rs,0,false,0.204650,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/inih/inih_inih_ini_flat_ini_find_chars_or_comment_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_find_chars_or_comment__type_erased.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,compat_entry,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_lskip__compat_entry.c,ini_lskip,summary,pafi-rs,0,false,0.224845,true,true,true,true,0,0 (equal-weight; volce disabled),1,2,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/inih/inih_inih_ini_flat_ini_lskip_summary_compat_entry.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_lskip__compat_entry.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,compat_entry,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_reader_string__compat_entry.c,ini_reader_string,summary,pafi-rs,0,false,0.187671,true,true,true,true,0,0 (equal-weight; volce disabled),1,2,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/inih/inih_inih_ini_flat_ini_reader_string_summary_compat_entry.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_reader_string__compat_entry.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,compat_entry,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__compat_entry.c,ini_rstrip,summary,pafi-rs,0,false,0.223972,true,true,true,true,0,0 (equal-weight; volce disabled),1,3,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/inih/inih_inih_ini_flat_ini_rstrip_summary_compat_entry.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__compat_entry.c
inih,/home/zhangliwei/eppather/testcase/inih,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/inih_ini_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_strncpy0__type_erased.c,ini_strncpy0,summary,pafi-rs,0,false,0.197975,true,true,true,true,2,2 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/inih/inih_inih_ini_flat_ini_strncpy0_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_strncpy0__type_erased.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpop__type_erased.c,list_lpop,summary,pafi-rs,0,false,0.164387,true,true,true,true,1,1 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/list/list_list_list_flat_list_lpop_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpop__type_erased.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpush__type_erased.c,list_lpush,summary,pafi-rs,0,false,0.183944,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/list/list_list_list_flat_list_lpush_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_lpush__type_erased.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,compat_entry,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_remove__compat_entry.c,list_remove,summary,pafi-rs,0,false,0.285433,true,true,true,true,0,0 (equal-weight; volce disabled),1,4,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/list/list_list_list_flat_list_remove_summary_compat_entry.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_remove__compat_entry.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpop__type_erased.c,list_rpop,summary,pafi-rs,0,false,0.160596,true,true,true,true,1,1 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/list/list_list_list_flat_list_rpop_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpop__type_erased.c
list,/home/zhangliwei/eppather/testcase/clib,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/list_list_flat.c,type_erased,/home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpush__type_erased.c,list_rpush,summary,pafi-rs,0,false,0.335480,true,true,true,true,0,0 (equal-weight; volce disabled),1,1,0,,,,,,,,,/home/zhangliwei/eppather/testcase/_eppather_runs/20260516_174102/list/list_list_list_flat_list_rpush_summary_type_erased.log,/home/zhangliwei/eppather/build/cnip -s --maxloop 2 --maxpaths 80 /home/zhangliwei/eppather/testcase/_eppather_preprocessed/list/slices/list_list_flat__list_rpush__type_erased.c
