filename,basename,gpt_time,gpt_mems,gpt_path,gpt_error,dfs_time,dfs_max_mems,dfs_min_mems,dfs_best_path,dfs_error,dp_time,dp_mems,dp_path,dp_error,success_gpt,success_dfs,success_dp,gpt_eq_dp_mems,gpt_eq_dfs_mems,dp_eq_dfs_mems,gpt_dp_mems_diff,gpt_dfs_mems_diff,dp_dfs_mems_diff,eppath_feasible,eppath_feasible_reason,eppath_feasible_source,gpt_path_feasible_by_eppath,is_true,worst_mems_dp,worst_path_dp,worst_mems_dfs,worst_path_dfs,run_round,run_stage,run_stage_tag
/home/zhangliwei/eppather/testcase/output_complete2/9-billion-names-of-god-the-integer.c,9-billion-names-of-god-the-integer.c,295.6085,85,"[TEST INPUT PATH EXPR]: p[n][0] = 0;
k = 1;
@(k <= n);
int d = n - k * (3 * k - 1) / 2;
@(d < 0);
p[n][0] = p[n][0] + p[d][0];
d = d - k;
@(d < 0);
p[n][0] = p[n][0] + p[d][0];
k = k + 1;
@(k <= n);
int d = n - k * (3 * k - 1) / 2;
@(d < 0);
p[n][0] = p[n][0] - p[d][0];
d = d - k;
@(d < 0);
p[n][0] = p[n][0] - p[d][0];
k = k + 1;
@(k <= n);
int d = n - k * (3 * k - 1) / 2;
@(d < 0);
p[n][0] = p[n][0] + p[d][0];
d = d - k;
@(d < 0);
p[n][0] = p[n][0] + p[d][0];
k = k + 1;
@(k <= n);",,error,error,error,,retcode_-11,0.0699159,-1,,,True,False,True,False,False,False,86,,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,-1,,,,5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/a+b-1.c,a+b-1.c,34.1404,4,"[TEST INPUT PATH EXPR]: x[0] = a + b;
[TEST INPUT PATH EXPR]: return x[0];",,0.0598811,2,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,0.140018,2,,,True,True,True,False,False,True,2,2,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,2,,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/a+b-2.c,a+b-2.c,48.0890,4,"[TEST INPUT PATH EXPR]: x[0] = a + b;
[TEST INPUT PATH EXPR]: return x[0];",,0.0569708,2,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,0.140519,2,,,True,True,True,False,False,True,2,2,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,2,,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/a+b-3.c,a+b-3.c,53.2741,4,"[TEST INPUT PATH EXPR]:
result[0] = arg1 + arg2;
return result[0];",,0.0573349,2,2,"[TEST INPUT PATH EXPR]:
int arg1;
int arg2;
int result[5];
result[0] = arg1 + arg2;return result[0];",,0.142742,2,,,True,True,True,False,False,True,2,2,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,2,,2,"[TEST INPUT PATH EXPR]:
int arg1;
int arg2;
int result[5];
result[0] = arg1 + arg2;return result[0];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/abc-problem.c,abc-problem.c,139.8644,9,"[TEST INPUT PATH EXPR]:
res[0] = 0;
has_word[0] = (word != 0);
has_block[0] = (b[0] != 0);
@(has_word[0] && has_block[0]);
res[0] = 1;
return res[0];",,0.107764,8,7,"[TEST INPUT PATH EXPR]:
char *b[21];
char *word;
int res[1];
int has_word[1];
int has_block[1];
res[0] = 0;has_word[0] = (word != 0);has_block[0] = (b[0] != 0);@(has_word[0] && has_block[0]);
res[0] = 1;return res[0];",,0.311879,8,,,True,True,True,False,False,True,1,1,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,8,,8,"[TEST INPUT PATH EXPR]:
char *b[21];
char *word;
int res[1];
int has_word[1];
int has_block[1];
res[0] = 0;has_word[0] = (word != 0);has_block[0] = (b[0] != 0);@(has_word[0] && has_block[0]);
res[0] = 1;return res[0];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/accumulator-factory.c,accumulator-factory.c,74.1558,7,"[TEST INPUT PATH EXPR]:
[accumulator_combined_path]: @ (selector == 0);
[accumulator_combined_path]: @ (selector == 1);
[accumulator_combined_path]: @ (selector == 2);
[accumulator_combined_path]: _n_z[0] = 97;
[accumulator_combined_path]: _n_z[0] = _n_z[0] + i;
[accumulator_combined_path]: return;",,0.0648089,4,4,"[TEST INPUT PATH EXPR]:
int i;
static int _n[5];
int i;
static int _n[5];
int i;
static int _n[5];
int i;
int selector;
static int _n_x[5];
static int _n_y[5];
static int _n_z[5];
_n[0] = 1;_n[0] = _n[0] + i;return _n[0];",,0.22875,4,,,True,True,True,False,False,True,3,3,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,4,,4,"[TEST INPUT PATH EXPR]:
int i;
static int _n[5];
int i;
static int _n[5];
int i;
static int _n[5];
int i;
int selector;
static int _n_x[5];
static int _n_y[5];
static int _n_z[5];
_n[0] = 1;_n[0] = _n[0] + i;return _n[0];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/ackermann-function-2.c,ackermann-function-2.c,275.7255,19,"[TEST INPUT PATH EXPR]:
mm = m;
nn = n;
@(mm < 0);
@(nn < 0);
nn = 0;
@(mm > 2);
mm = 2;
@(nn > 3);
idx = mm * 4 + nn;
@(cache[idx] != 0);
@(mm == 0);
@(mm == 1);
cache[idx] = nn + 3;
return cache[idx];",,2.96682,3,2,"[TEST INPUT PATH EXPR]:
int m;
int n;
int m_bits;
int n_bits;
int cache[16];
int mm;
int nn;
int idx;
mm = m;nn = n;@(mm < 0);
mm = 0;@(nn < 0);
nn = 0;@(!(mm > 2));
@(!(nn > 3));
idx = mm * 4 + nn;@(!(cache[idx] != 0));
@(mm == 0);
cache[idx] = nn + 1;return cache[idx];",,1.16451,3,,,True,True,True,False,False,True,16,16,0,false,numeric_constraint_conflict:mm,local_parser,False,False,3,,3,"[TEST INPUT PATH EXPR]:
int m;
int n;
int m_bits;
int n_bits;
int cache[16];
int mm;
int nn;
int idx;
mm = m;nn = n;@(mm < 0);
mm = 0;@(nn < 0);
nn = 0;@(!(mm > 2));
@(!(nn > 3));
idx = mm * 4 + nn;@(!(cache[idx] != 0));
@(mm == 0);
cache[idx] = nn + 1;return cache[idx];",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-2.c,address-of-a-variable-2.c,25.1558,1,"[TEST INPUT PATH EXPR]: address_of_i = &i[0];
[TEST INPUT PATH EXPR]: return;",,0.0463944,1,1,"[TEST INPUT PATH EXPR]:
int i[5];
int* address_of_i;
address_of_i = &i[0];return;",,0.12675,1,,,True,True,True,True,True,True,0,0,0,true,no_obvious_conflict_by_local_parser,local_parser,True,True,1,,1,"[TEST INPUT PATH EXPR]:
int i[5];
int* address_of_i;
address_of_i = &i[0];return;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-4.c,address-of-a-variable-4.c,22.8739,1,"[TEST INPUT PATH EXPR]: s[0] = 0;
[TEST INPUT PATH EXPR]: return;",,0.0521707,1,1,"[TEST INPUT PATH EXPR]:
int n;
int s[5];
s[0] = 0;return;",,0.12732,1,,,True,True,True,True,True,True,0,0,0,true,no_obvious_conflict_by_local_parser,local_parser,True,True,1,,1,"[TEST INPUT PATH EXPR]:
int n;
int s[5];
s[0] = 0;return;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-5.c,address-of-a-variable-5.c,21.8949,1,"[TEST INPUT PATH EXPR]:
arr[0] = 0;
return;",,0.0427528,1,1,"[TEST INPUT PATH EXPR]:
int arr[5];
arr[0] = 0;return;",,0.135355,1,,,True,True,True,True,True,True,0,0,0,true,no_obvious_conflict_by_local_parser,local_parser,True,True,1,,1,"[TEST INPUT PATH EXPR]:
int arr[5];
arr[0] = 0;return;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-7.c,address-of-a-variable-7.c,47.4790,6,"[TEST INPUT PATH EXPR]: x = 168496691;
[TEST INPUT PATH EXPR]: y = x;
[TEST INPUT PATH EXPR]: @(y>0);
[TEST INPUT PATH EXPR]: y = y - 1;
[TEST INPUT PATH EXPR]: return 0;",,0.0943369,0,0,"[TEST INPUT PATH EXPR]:
int x;
int y;
x = 168496691;y = x;@(y > 0);
y = y - 1;return 0;",,0.292262,0,,,True,True,True,False,False,True,6,6,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,0,,0,"[TEST INPUT PATH EXPR]:
int x;
int y;
x = 168496691;y = x;@(y > 0);
y = y - 1;return 0;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/aliquot-sequence-classifications-1.c,aliquot-sequence-classifications-1.c,132.7986,29,"[TEST INPUT PATH EXPR]:
n = 12;
sum = 0;
i = 1;
@(i < 6);
@(n % i == 0);
sum = sum + i;
i = i + 1;
@(i < 6);
@(n % i == 0);
sum = sum + i;
i = i + 1;
@(i < 6);
@(n % i == 0);
sum = sum + i;
i = i + 1;
@(sum > n);",,0.298965,-1,0,[NO FEASIBLE PATH],,0.753692,-1,,,True,True,True,False,False,True,30,30,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,-1,,-1,[NO FEASIBLE PATH],5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/aliquot-sequence-classifications-2.c,aliquot-sequence-classifications-2.c,99.7594,3333,"[TEST INPUT PATH EXPR]:
[ALIQUOT_CLASSIFIER]: i iterates 1..15; [PROPER_DIVISOR_SUM]: called 15 times; [RAISE_TO]: up to 4 calls per properDivisorSum (power capped to 3 iterations); [LOOPS_BOUNDS]: initial while (n%2==0) up to 3 iterations; for (i=3; i*i<=n; i+=2) up to 3 iterations; inner while (n%i==0) up to 3 iterations;};",,error,error,error,,timeout,error,error,,retcode_-11,True,False,False,False,False,False,,,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,,,,,5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/almost-prime.c,almost-prime.c,239.2412,35,"[TEST INPUT PATH EXPR]:
[kprime.c]: f[0] = 0;
[kprime.c]: p = 2;
[kprime.c]: @(f[0] < k && p * p <= n);
[kprime.c]: p = p + 1;
[kprime.c]: @(f[0] < k && p * p <= n);
[kprime.c]: p = p + 1;
[kprime.c]: @(f[0] < k && p * p <= n);
[kprime.c]: p = p + 1;
[kprime.c]: @(n > 1);
[kprime.c]: @(f[0] == k);",,2.45175,14,3,"[TEST INPUT PATH EXPR]:
int n;
int k;
int p;
int f[5];
f[0] = 0;p = 2;
@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(!(f[0] < k && p * p <= n));
@(n > 1);
f[0] = f[0] + 1;@(f[0] == k);
return 1;",,1.09933,14,,,True,True,True,False,False,True,21,21,0,true,no_obvious_conflict_by_local_parser,local_parser,True,False,14,,14,"[TEST INPUT PATH EXPR]:
int n;
int k;
int p;
int f[5];
f[0] = 0;p = 2;
@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(f[0] < k && p * p <= n);
p = p + 1;
@(0 == n % p);
n = n / p;f[0] = f[0] + 1;@(!(f[0] < k && p * p <= n));
@(n > 1);
f[0] = f[0] + 1;@(f[0] == k);
return 1;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/amb.c,amb.c,259.6573,1759,"[TEST INPUT PATH EXPR]:
[amb.c: i1=0; i1<3; i1=i1+1;];
[amb.c: i2=0; i2<3; i2=i2+1;];
[amb.c: i3=0; i3<3; i3=i3+1;];
[amb.c: i4=0; i4<2; i4=i4+1;];
[amb.c: if (joins(words[i1], words[i2 + 3]) && joins(words[i2 + 3], words[i3 + 6]) && joins(words[i3 + 6], words[i4 + 9])) { for (int j = 0; j < 5; j = j + 1) { result[j] = words[i1][j]; } return; }];",,error,error,error,,retcode_-11,0.107894,-1,,,True,False,True,False,False,False,1760,,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,-1,,,,5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/anagrams-deranged-anagrams.c,anagrams-deranged-anagrams.c,353.1683,27,"[TEST INPUT PATH EXPR]:
[deranged_path]:;
i = 0;
@(s1[0] != 0);
@(s1[0] == s2[0]);
i = i + 1;
@(s1[1] != 0);
@(s1[1] == s2[1]);
i = i + 1;
@(s1[2] != 0);
@(s1[2] == s2[2]);
i = i + 1;
@(s1[3] != 0);
return 1;",,error,error,error,,retcode_-11,0.101052,-1,,,True,False,True,False,False,False,28,,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,-1,,,,5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/arena-storage-pool-1.c,arena-storage-pool-1.c,25.3659,1,"[TEST INPUT PATH EXPR]: x[0] = 0;
[TEST INPUT PATH EXPR]: return;",,0.0557795,1,1,"[TEST INPUT PATH EXPR]:
int x[5];
void;
x[0] = 0;return;",,0.0950769,1,,,True,True,True,True,True,True,0,0,0,true,no_obvious_conflict_by_local_parser,local_parser,True,True,1,,1,"[TEST INPUT PATH EXPR]:
int x[5];
void;
x[0] = 0;return;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/arena-storage-pool-7.c,arena-storage-pool-7.c,268.1416,16,"[TEST INPUT PATH EXPR]:
[size==0;]@false;
[newEntry[0] = 123456;];
[tail[0] != 0;]@true;
[next[tail[0]] = newEntry[0];];
[tail[0] = next[tail[0]];];
[allocatedAddr[tail[0]] = 123456;];
[sizeArr[tail[0]] = size;];
[next[tail[0]] = 0;];
[tail[0] = newEntry[0];];
[addr[0] = 123456;];",,error,error,error,,retcode_-11,0.520959,1,,,True,False,True,False,False,False,15,,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,1,,,,5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/arithmetic-complex-1.c,arithmetic-complex-1.c,55.3658,40,"[TEST INPUT PATH EXPR]: a[0] = 1;
[TEST INPUT PATH EXPR]: a[1] = 1;
[TEST INPUT PATH EXPR]: b[0] = 3;
[TEST INPUT PATH EXPR]: b[1] = 1;
[TEST INPUT PATH EXPR]: c[0] = a[0] + b[0];
[TEST INPUT PATH EXPR]: c[1] = a[1] + b[1];
[TEST INPUT PATH EXPR]: c[0] = a[0] * b[0] - a[1] * b[1];
[TEST INPUT PATH EXPR]: c[1] = a[0] * b[1] + a[1] * b[0];
[TEST INPUT PATH EXPR]: c[0] = a[0] / (a[0] * a[0] + a[1] * a[1]);
[TEST INPUT PATH EXPR]: c[1] = -a[1] / (a[0] * a[0] + a[1] * a[1]);
[TEST INPUT PATH EXPR]: c[0] = -a[0];
[TEST INPUT PATH EXPR]: c[1] = -a[1];
[TEST INPUT PATH EXPR]: c[0] = a[0];
[TEST INPUT PATH EXPR]: c[1] = -a[1];
[TEST INPUT PATH EXPR]: return;",,0.0834928,40,40,"[TEST INPUT PATH EXPR]:
int n1;
int n2;
int n3;
int n4;
int n5;
int n6;
int n7;
int n8;
int n9;
int n10;
int a[5];
int b[5];
int c[5];
a[0] = 1;a[1] = 1;b[0] = 3;b[1] = 1;c[0] = a[0] + b[0];c[1] = a[1] + b[1];c[0] = a[0] * b[0] - a[1] * b[1];c[1] = a[0] * b[1] + a[1] * b[0];c[0] = a[0] / (a[0] * a[0] + a[1] * a[1]);c[1] = -a[1] / (a[0] * a[0] + a[1] * a[1]);c[0] = -a[0];c[1] = -a[1];c[0] = a[0];c[1] = -a[1];return;",,1.16212,40,,,True,True,True,True,True,True,0,0,0,true,no_obvious_conflict_by_local_parser,local_parser,True,True,40,,40,"[TEST INPUT PATH EXPR]:
int n1;
int n2;
int n3;
int n4;
int n5;
int n6;
int n7;
int n8;
int n9;
int n10;
int a[5];
int b[5];
int c[5];
a[0] = 1;a[1] = 1;b[0] = 3;b[1] = 1;c[0] = a[0] + b[0];c[1] = a[1] + b[1];c[0] = a[0] * b[0] - a[1] * b[1];c[1] = a[0] * b[1] + a[1] * b[0];c[0] = a[0] / (a[0] * a[0] + a[1] * a[1]);c[1] = -a[1] / (a[0] * a[0] + a[1] * a[1]);c[0] = -a[0];c[1] = -a[1];c[0] = a[0];c[1] = -a[1];return;",5,20,stage_20
/home/zhangliwei/eppather/testcase/output_complete2/arithmetic-geometric-mean-1.c,arithmetic-geometric-mean-1.c,269.5515,132,"[TEST INPUT PATH EXPR]:
iota[0] = 1;
temp[0] = a[0] * g[0];
@(temp[0] < 0);
for (int i = 0; i < 5; i = i + 1);
temp[0] = a[0] - g[0];
@(temp[0] < 0);
temp[0] = -temp[0];
@(temp[0] <= iota[0]);
a1[0] = (a[0] + g[0]) / 2;
temp[0] = a[0] * g[0];
g1[0] = 0;
for (int j = 0; j < 5; j = j + 1);
@(j * j <= temp[0]);
g1[0] = j;
a[0] = a1[0];
g[0] = g1[0];
return a[0];",,0.846868,14,5,"[TEST INPUT PATH EXPR]:
int a[5];
int g[5];
int iota[5];
int a1[5];
int g1[5];
int temp[5];
iota[0] = 1;temp[0] = a[0] * g[0];@(!(temp[0] < 0));
int i = 0;
@(i < 5);
i = i + 1;
temp[0] = a[0] - g[0];@(temp[0] < 0);
temp[0] = -temp[0];@(temp[0] <= iota[0]);
break;return a[0];",,error,error,,retcode_-11,True,True,False,False,False,False,,118,,true,no_obvious_conflict_by_local_parser,local_parser,True,False,,,14,"[TEST INPUT PATH EXPR]:
int a[5];
int g[5];
int iota[5];
int a1[5];
int g1[5];
int temp[5];
iota[0] = 1;temp[0] = a[0] * g[0];@(!(temp[0] < 0));
int i = 0;
@(i < 5);
i = i + 1;
temp[0] = a[0] - g[0];@(temp[0] < 0);
temp[0] = -temp[0];@(temp[0] <= iota[0]);
break;return a[0];",5,20,stage_20
