id,source,category,expected_mode,expected_trip_count,maxloop
01,testcase/loop_hybrid/01_for_lt.c,affine,exact-summary,4,64
02,testcase/loop_hybrid/02_for_le.c,affine,exact-summary,5,64
03,testcase/loop_hybrid/03_for_desc.c,affine,exact-summary,5,64
04,testcase/loop_hybrid/04_for_step2.c,affine,exact-summary,5,64
05,testcase/loop_hybrid/05_for_step3_le.c,affine,exact-summary,4,64
06,testcase/loop_hybrid/06_for_assign_step.c,affine,exact-summary,3,64
07,testcase/loop_hybrid/07_for_prefix_inc.c,affine,exact-summary,5,64
08,testcase/loop_hybrid/08_for_reversed.c,reversed-condition,exact-summary,5,64
09,testcase/loop_hybrid/09_for_reversed_desc.c,reversed-condition,exact-summary,5,64
10,testcase/loop_hybrid/10_for_zero_trip.c,zero-trip,exact-summary,0,64
11,testcase/loop_hybrid/11_for_negative_start.c,negative-start,exact-summary,6,64
12,testcase/loop_hybrid/12_nested_for.c,nested,exact-summary,3x4,64
13,testcase/loop_hybrid/13_while_input.c,data-dependent-while,fallback,3,3
14,testcase/loop_hybrid/14_while_constant.c,while,fallback,5,5
15,testcase/loop_hybrid/15_for_branch.c,multi-branch,exact-summary,6,64
16,testcase/loop_hybrid/16_array_scan.c,array-two-loops,exact-summary,5+5,64
17,testcase/loop_hybrid/17_pointer_walk.c,pointer,exact-summary,6,64
18,testcase/loop_hybrid/18_for_break.c,early-exit,upper-bound-summary,8,64
19,testcase/loop_hybrid/19_for_decrement_step2.c,descending,exact-summary,5,64
20,testcase/loop_hybrid/20_two_loops.c,mixed-for-while,hybrid,5+fallback,5
