id,source,category,features,maxloop
ap01,testcase/probmems_ground_truth/gt06_fixed_loop_array.c,array,fixed_loop_read_write,5
ap02,testcase/probmems_ground_truth/gt08_array_index_branch.c,array,symbolic_index_branch,1
ap03,testcase/probmems_ground_truth/gt21_array_branch_read.c,array,branch_read,1
ap04,testcase/probmems_ground_truth/gt22_array_fixed_five_loop.c,array,five_iteration_loop,5
ap05,testcase/probmems_ground_truth/gt25_array_conditional_write.c,array,conditional_read_write,1
ap06,testcase/probmems_ground_truth/gt27_two_array_dot.c,array,two_array_dot_product,4
ap07,testcase/probmems_ground_truth/gt28_array_reverse_pairs.c,array,two_reads_per_iteration,3
ap08,testcase/probmems_ground_truth/gt29_pointer_deref_branch.c,pointer,dereference_branch,1
ap09,testcase/probmems_ground_truth/gt30_pointer_conditional_write.c,pointer,conditional_read_write,1
ap10,testcase/probmems_ground_truth/gt31_pointer_fixed_five_loop.c,pointer,five_iteration_loop,5
ap11,testcase/probmems_ground_truth/gt32_pointer_offset_read.c,pointer,offset_read,1
ap12,testcase/probmems_ground_truth/gt34_pointer_swap.c,pointer,swap_read_write,1
ap13,testcase/probmems_ground_truth/gt35_pointer_loop_branch.c,pointer,loop_branch,5
ap14,testcase/probmems_ground_truth/gt37_array_pointer_alias_read.c,mixed,array_pointer_alias,1
ap15,testcase/probmems_ground_truth/gt38_array_pointer_copy.c,mixed,array_pointer_copy,4
ap16,testcase/probmems_ground_truth/gt39_array_pointer_loop_branch.c,mixed,array_pointer_loop_branch,5
