filename,source_path,folder,dfs_time,dfs_max_mems,dfs_min_mems,greedy_time,greedy_mems,greedy_path,f_error,g_error,success,mems_equal
non-continuous-subsequences-3.c,output_true2/non-continuous-subsequences-3.c,output_true2,0.75324,4,0,1.24494,4,,,,True,True
list-comprehensions-2.c,output_true2/list-comprehensions-2.c,output_true2,0.242953,1,1,0.426039,1,,,,True,True
greyscale-bars-display.c,output_true2/greyscale-bars-display.c,output_true2,0.0808195,2,2,0.173372,2,,,,True,True
compare-sorting-algorithms-performance-4.c,output_true2/compare-sorting-algorithms-performance-4.c,output_true2,0.0884542,2,2,0.0834709,2,,,,True,True
substring-3.c,output_true2/substring-3.c,output_true2,50.8836,1,1,1.87249,1,,,,True,True
quickselect-algorithm.c,output_true2/quickselect-algorithm.c,output_true2,16.6449,23,4,6.16592,23,,,,True,True
write-float-arrays-to-a-text-file-2.c,output_true2/write-float-arrays-to-a-text-file-2.c,output_true2,0.194248,2,1,0.320411,2,,,,True,True
palindrome-detection-1.c,output_true2/palindrome-detection-1.c,output_true2,0.422802,2,0,0.694791,2,,,,True,True
empty-program-1.c,output_true2/empty-program-1.c,output_true2,0.0546557,1,1,0.0543716,1,,,,True,True
jump-anywhere-5.c,output_true2/jump-anywhere-5.c,output_true2,0.481401,4,4,0.11634,4,,,,True,True
create-a-file-1.c,output_true2/create-a-file-1.c,output_true2,0.0535414,1,1,0.0509811,1,,,,True,True
show-the-epoch-1.c,output_true2/show-the-epoch-1.c,output_true2,0.0644748,2,2,0.0904646,2,,,,True,True
yin-and-yang.c,output_true2/yin-and-yang.c,output_true2,0.0697904,3,3,0.12614,3,,,,True,True
n-queens-problem-2.c,output_true2/n-queens-problem-2.c,output_true2,1.2896,1,0,1.5374,1,,,,True,True
comments-1.c,output_true2/comments-1.c,output_true2,0.0633426,1,1,0.0673191,1,,,,True,True
time-a-function.c,output_true2/time-a-function.c,output_true2,0.0724249,1,1,0.0574156,1,,,,True,True
variable-size-set-1.c,output_true2/variable-size-set-1.c,output_true2,0.0674632,1,1,0.0543301,1,,,,True,True
sorting-algorithms-cocktail-sort-1.c,output_true2/sorting-algorithms-cocktail-sort-1.c,output_true2,110.549,8,8,6.68789,8,,,,True,True
function-definition-2.c,output_true2/function-definition-2.c,output_true2,0.0732559,2,2,0.0824973,2,,,,True,True
variable-size-get.c,output_true2/variable-size-get.c,output_true2,0.0537815,1,1,0.0551538,1,,,,True,True
aliquot-sequence-classifications-2.c,output_true2/aliquot-sequence-classifications-2.c,output_true2,0.305817,2,2,0.588956,2,,,,True,True
modular-inverse-1.c,output_true2/modular-inverse-1.c,output_true2,1.02489,41,5,1.95547,41,,,,True,True
last-friday-of-each-month.c,output_true2/last-friday-of-each-month.c,output_true2,1.01057,12,12,1.47474,12,,,,True,True
arrays-7.c,output_true2/arrays-7.c,output_true2,0.0714004,1,1,0.0889226,1,,,,True,True
address-of-a-variable-4.c,output_true2/address-of-a-variable-4.c,output_true2,0.0631966,1,1,0.0650865,1,,,,True,True
return-multiple-values-1.c,output_true2/return-multiple-values-1.c,output_true2,0.0757934,12,12,0.496352,12,,,,True,True
sutherland-hodgman-polygon-clipping.c,output_true2/sutherland-hodgman-polygon-clipping.c,output_true2,1.02731,19,18,1.33669,19,,,,True,True
sorting-algorithms-heapsort.c,output_true2/sorting-algorithms-heapsort.c,output_true2,0.646595,4,0,0.694314,4,,,,True,True
first-class-functions-1.c,output_true2/first-class-functions-1.c,output_true2,0.0676868,5,5,0.0714647,5,,,,True,True
create-an-object-at-a-given-address-1.c,output_true2/create-an-object-at-a-given-address-1.c,output_true2,0.0752958,1,1,0.158907,1,,,,True,True
a+b-2.c,output_true2/a+b-2.c,output_true2,0.06859,2,2,0.0776252,2,,,,True,True
hailstone-sequence-2.c,output_true2/hailstone-sequence-2.c,output_true2,0.591288,11,2,0.92504,11,,,,True,True
singleton-2.c,output_true2/singleton-2.c,output_true2,0.0822658,1,1,0.0882245,1,,,,True,True
fibonacci-sequence-1.c,output_true2/fibonacci-sequence-1.c,output_true2,0.115891,3,2,0.201161,3,,,,True,True
vector-products.c,output_true2/vector-products.c,output_true2,0.373421,18,0,1.86464,18,,,,True,True
extend-your-language-4.c,output_true2/extend-your-language-4.c,output_true2,0.180412,19,19,0.312882,19,,,,True,True
use-another-language-to-call-a-function-2.c,output_true2/use-another-language-to-call-a-function-2.c,output_true2,0.241368,1,1,0.345758,1,,,,True,True
thieles-interpolation-formula-2.c,output_true2/thieles-interpolation-formula-2.c,output_true2,0.055341,5,5,0.106613,5,,,,True,True
anagrams-deranged-anagrams.c,output_true2/anagrams-deranged-anagrams.c,output_true2,0.391015,3,1,0.529074,3,,,,True,True
send-email.c,output_true2/send-email.c,output_true2,4.28369,1,1,1.46566,1,,,,True,True
comments-4.c,output_true2/comments-4.c,output_true2,0.0625181,1,1,0.0707474,1,,,,True,True
arrays-10.c,output_true2/arrays-10.c,output_true2,24.3069,18,18,1.84754,18,,,,True,True
file-modification-time-1.c,output_true2/file-modification-time-1.c,output_true2,0.223475,5,5,0.605048,5,,,,True,True
price-fraction.c,output_true2/price-fraction.c,output_true2,0.36088,7,7,0.45757,7,,,,True,True
queue-definition-2.c,output_true2/queue-definition-2.c,output_true2,1.19243,6,0,0.970167,6,,,,True,True
bubble_sort.c,output_true2/bubble_sort.c,output_true2,11.5247,12,0,error,error,,,timeout,False,False
soundex.c,output_true2/soundex.c,output_true2,5.53593,6,6,2.12511,6,,,,True,True
multiplicative-order.c,output_true2/multiplicative-order.c,output_true2,0.66693,2,2,1.41769,2,,,,True,True
euler-method-1.c,output_true2/euler-method-1.c,output_true2,0.085203,3,3,0.0929411,3,,,,True,True
empty-program-3.c,output_true2/empty-program-3.c,output_true2,0.0647845,2,2,0.0633776,2,,,,True,True
window-management.c,output_true2/window-management.c,output_true2,58.5194,2,2,0.241175,2,,,,True,True
longest-string-challenge-4.c,output_true2/longest-string-challenge-4.c,output_true2,0.30695,3,3,0.354032,3,,,,True,True
