filename,folder,gpt_time,gpt_mems,gpt_path,gpt_error,greedy_time,greedy_mems,greedy_path,g_error,success,mems_equal
output_c_files_gemini/binsearch.c,output_c_files_gemini,25.8220,error,,parse_fail,4.42637,6,,,False,False
output_c_files_gemini/example4.c,output_c_files_gemini,25.8184,error,,parse_fail,1.41718,0,,,False,False
output_c_files_gemini/topo.c,output_c_files_gemini,25.4404,error,,parse_fail,0.456869,,,,False,False
output_c_files_gemini/merge.c,output_c_files_gemini,25.5892,error,,parse_fail,error,error,,retcode_1,False,False
output_c_files_gemini/example12.c,output_c_files_gemini,25.2996,error,,parse_fail,6.28212,,,,False,False
output_c_files_gemini/example8.c,output_c_files_gemini,25.4916,error,,parse_fail,1.33442,,,,False,False
output_c_files_gemini/array.c,output_c_files_gemini,25.4600,error,,parse_fail,2.6458,,,,False,False
output_c_files_gemini/example5.c,output_c_files_gemini,26.4664,error,,parse_fail,1.22383,4,,,False,False
output_c_files_gemini/example2.c,output_c_files_gemini,24.9817,error,,parse_fail,0.863702,3,,,False,False
output_c_files_gemini/array2.c,output_c_files_gemini,25.3589,error,,parse_fail,0.746932,,,,False,False
output_c_files_gemini/example9.c,output_c_files_gemini,25.6097,error,,parse_fail,2.83471,0,,,False,False
output_c_files_gemini/sieve.c,output_c_files_gemini,25.5097,error,,parse_fail,0.504661,2,,,False,False
output_c_files_gemini/example11.c,output_c_files_gemini,25.6229,error,,parse_fail,3.5218,0,,,False,False
output_c_files_gemini/example6.c,output_c_files_gemini,24.9823,error,,parse_fail,3.14815,0,,,False,False
output_c_files_gemini/example1.c,output_c_files_gemini,25.8371,error,,parse_fail,0.393177,0,,,False,False
output_c_files_gemini/mintree.c,output_c_files_gemini,25.7408,error,,parse_fail,5.22586,0,,,False,False
output_c_files_gemini/example7.c,output_c_files_gemini,25.6168,error,,parse_fail,1.71024,0,,,False,False
output_c_files_gemini/example10.c,output_c_files_gemini,24.8524,error,,parse_fail,error,error,,retcode_-11,False,False
output_c_files_gemini/prime.c,output_c_files_gemini,25.3916,error,,parse_fail,10.2094,7,,,False,False
output_c_files_gemini/warshall.c,output_c_files_gemini,24.6347,error,,parse_fail,0.647972,,,,False,False
output_c_files_gemini/example14.c,output_c_files_gemini,26.3675,error,,parse_fail,1.89092,,,,False,False
output_c_files_gemini/bubble.c,output_c_files_gemini,25.3399,error,,parse_fail,1.07617,,,,False,False
output_c_files_gemini/dijkstra.c,output_c_files_gemini,25.5223,error,,parse_fail,0.707286,,,,False,False
output_c_files_gemini/astar.c,output_c_files_gemini,23.9213,error,,parse_fail,1.46989,,,,False,False
output_c_files_gemini/example3.c,output_c_files_gemini,24.7512,error,,parse_fail,9.72891,3,,,False,False
output_c_files_gemini/example13.c,output_c_files_gemini,25.4933,error,,parse_fail,1.24585,0,,,False,False
output_c_files_gpt/binsearch.c,output_c_files_gpt,26.4842,error,,parse_fail,2.71008,6,,,False,False
output_c_files_gpt/example4.c,output_c_files_gpt,25.5294,error,,parse_fail,0.715748,,,,False,False
output_c_files_gpt/topo.c,output_c_files_gpt,25.0814,error,,parse_fail,0.954975,0,,,False,False
output_c_files_gpt/merge.c,output_c_files_gpt,26.8421,error,,parse_fail,error,error,,retcode_1,False,False
output_c_files_gpt/example12.c,output_c_files_gpt,25.7943,error,,parse_fail,1.12497,,,,False,False
output_c_files_gpt/example8.c,output_c_files_gpt,26.3908,error,,parse_fail,1.09918,0,,,False,False
output_c_files_gpt/array.c,output_c_files_gpt,26.3528,error,,parse_fail,0.96196,,,,False,False
output_c_files_gpt/example5.c,output_c_files_gpt,25.1346,error,,parse_fail,1.03844,4,,,False,False
output_c_files_gpt/example2.c,output_c_files_gpt,26.7525,error,,parse_fail,0.497314,3,,,False,False
output_c_files_gpt/array2.c,output_c_files_gpt,26.0572,error,,parse_fail,0.239936,,,,False,False
output_c_files_gpt/example9.c,output_c_files_gpt,24.7468,error,,parse_fail,1.16064,0,,,False,False
output_c_files_gpt/sieve.c,output_c_files_gpt,28.1656,error,,parse_fail,0.522913,2,,,False,False
output_c_files_gpt/example11.c,output_c_files_gpt,25.8151,error,,parse_fail,0.634596,0,,,False,False
output_c_files_gpt/example6.c,output_c_files_gpt,25.5538,error,,parse_fail,1.30514,0,,,False,False
output_c_files_gpt/example1.c,output_c_files_gpt,25.7572,error,,parse_fail,0.266491,0,,,False,False
output_c_files_gpt/mintree.c,output_c_files_gpt,26.1287,error,,parse_fail,error,error,,retcode_-11,False,False
output_c_files_gpt/example7.c,output_c_files_gpt,26.4733,error,,parse_fail,1.38292,0,,,False,False
output_c_files_gpt/example10.c,output_c_files_gpt,25.5055,error,,parse_fail,error,error,,retcode_-11,False,False
output_c_files_gpt/prime.c,output_c_files_gpt,25.9903,error,,parse_fail,0.965459,0,,,False,False
output_c_files_gpt/warshall.c,output_c_files_gpt,25.5079,error,,parse_fail,0.74848,,,,False,False
output_c_files_gpt/example14.c,output_c_files_gpt,26.1714,error,,parse_fail,0.966377,,,,False,False
output_c_files_gpt/bubble.c,output_c_files_gpt,25.9641,error,,parse_fail,0.685855,,,,False,False
output_c_files_gpt/dijkstra.c,output_c_files_gpt,25.4784,error,,parse_fail,error,error,,retcode_-7,False,False
output_c_files_gpt/astar.c,output_c_files_gpt,25.5505,error,,parse_fail,error,error,,retcode_-11,False,False
output_c_files_gpt/example3.c,output_c_files_gpt,25.0890,error,,parse_fail,8.53255,,,,False,False
output_c_files_gpt/example13.c,output_c_files_gpt,26.6627,error,,parse_fail,1.23261,0,,,False,False
